X_L,Y_L,Z_L,X_R,Y_R,Z_R,Distancia(mm)
300,-150,180,300,50,180,0
300,-150,180,300,150,180,0
300,-150,180,300,250,180,0
300,-150,180,300,350,180,0
300,-150,180,300,450,180,0
300,-150,180,400,-450,180,80
300,-150,180,400,-350,180,80
300,-150,180,400,-250,180,30
300,-150,180,400,-150,180,0
300,-150,180,400,-50,180,0
300,-150,180,400,50,180,0
300,-150,180,400,150,180,0
300,-150,180,400,250,180,0
300,-150,180,400,350,180,0
300,-150,180,400,450,180,0
300,-150,180,500,-450,180,72
300,-150,180,500,-350,180,73
300,-150,180,500,-250,180,70
300,-150,180,500,-150,180,36
300,-150,180,500,-50,180,24
300,-150,180,500,50,180,0
300,-150,180,500,150,180,0
300,-150,180,500,250,180,0
300,-150,180,500,350,180,0
300,-150,180,500,450,180,0
300,-150,180,600,-450,180,0
300,-150,180,600,-350,180,58
300,-150,180,600,-250,180,57
300,-150,180,600,-150,180,38
300,-150,180,600,-50,180,9
300,-150,180,600,50,180,0
300,-150,180,600,150,180,0
300,-150,180,600,250,180,0
300,-150,180,600,350,180,0
300,-150,180,600,450,180,0
300,-50,180,200,-450,180,109
300,-50,180,200,-350,180,109
300,-50,180,200,-250,180,0
300,-50,180,200,-150,180,0
300,-50,180,200,-50,180,0
300,-50,180,200,50,180,0
300,-50,180,200,150,180,0
300,-50,180,200,250,180,0
300,-50,180,200,350,180,0
300,-50,180,200,450,180,0
300,-50,180,300,-450,180,109
300,-50,180,300,-350,180,109
300,-50,180,300,-250,180,109
300,-50,180,300,-150,180,19
300,-50,180,300,-50,180,0
300,-50,180,300,50,180,0
300,-50,180,300,150,180,0
300,-50,180,300,250,180,0
300,-50,180,300,350,180,0
300,-50,180,300,450,180,0
300,-50,180,400,-450,180,104
300,-50,180,400,-350,180,104
300,-50,180,400,-250,180,99
300,-50,180,400,-150,180,46
300,-50,180,400,-50,180,0
300,-50,180,400,50,180,0
300,-50,180,400,150,180,0
300,-50,180,400,250,180,0
300,-50,180,400,350,180,0
300,-50,180,400,450,180,0
300,-50,180,500,-450,180,91
300,-50,180,500,-350,180,92
300,-50,180,500,-250,180,89
300,-50,180,500,-150,180,84
300,-50,180,500,-50,180,46
300,-50,180,500,50,180,37
300,-50,180,500,150,180,19
300,-50,180,500,250,180,0
300,-50,180,500,350,180,0
300,-50,180,500,450,180,0
300,-50,180,600,-450,180,0
300,-50,180,600,-350,180,81
300,-50,180,600,-250,180,80
300,-50,180,600,-150,180,75
300,-50,180,600,-50,180,66
300,-50,180,600,50,180,44
300,-50,180,600,150,180,0
300,-50,180,600,250,180,0
300,-50,180,600,350,180,0
300,-50,180,600,450,180,0
300,50,180,200,-450,180,111
300,50,180,200,-350,180,111
300,50,180,200,-250,180,0
300,50,180,200,-150,180,0
300,50,180,200,-50,180,0
300,50,180,200,50,180,0
300,50,180,200,150,180,0
300,50,180,200,250,180,0
300,50,180,200,350,180,0
300,50,180,200,450,180,0
300,50,180,300,-450,180,112
300,50,180,300,-350,180,112
300,50,180,300,-250,180,112
300,50,180,300,-150,180,112
300,50,180,300,-50,180,18
300,50,180,300,50,180,0
300,50,180,300,150,180,0
300,50,180,300,250,180,0
300,50,180,300,350,180,0
300,50,180,300,450,180,0
300,50,180,400,-450,180,112
300,50,180,400,-350,180,112
300,50,180,400,-250,180,112
300,50,180,400,-150,180,112
300,50,180,400,-50,180,56
300,50,180,400,50,180,0
300,50,180,400,150,180,0
300,50,180,400,250,180,0
300,50,180,400,350,180,0
300,50,180,400,450,180,0
300,50,180,500,-450,180,112
300,50,180,500,-350,180,112
300,50,180,500,-250,180,112
300,50,180,500,-150,180,108
300,50,180,500,-50,180,96
300,50,180,500,50,180,59
300,50,180,500,150,180,51
300,50,180,500,250,180,24
300,50,180,500,350,180,0
300,50,180,500,450,180,0
300,50,180,600,-450,180,0
300,50,180,600,-350,180,102
300,50,180,600,-250,180,101
300,50,180,600,-150,180,95
300,50,180,600,-50,180,85
300,50,180,600,50,180,72
300,50,180,600,150,180,60
300,50,180,600,250,180,0
300,50,180,600,350,180,0
300,50,180,600,450,180,0
300,150,180,200,-450,180,111
300,150,180,200,-350,180,111
300,150,180,200,-250,180,0
300,150,180,200,-150,180,0
