X_L,Y_L,Z_L,X_R,Y_R,Z_R,Distancia(mm)
200,250,180,600,50,180,72.5475
200,250,180,600,150,180,64.4492
200,250,180,600,250,180,0
200,250,180,600,350,180,0
200,250,180,600,450,180,0
200,350,180,200,-450,180,97.3716
200,350,180,200,-350,180,95.7916
200,350,180,200,-250,180,97.535
200,350,180,200,-150,180,0
200,350,180,200,-50,180,0
200,350,180,200,50,180,56.5448
200,350,180,200,150,180,23.8847
200,350,180,200,250,180,15.9418
200,350,180,200,350,180,0
200,350,180,200,450,180,0
200,350,180,300,-450,180,97.9088
200,350,180,300,-350,180,97.8364
200,350,180,300,-250,180,97.6061
200,350,180,300,-150,180,97.5056
200,350,180,300,-50,180,97.5645
200,350,180,300,50,180,86.7195
200,350,180,300,150,180,73.2203
200,350,180,300,250,180,61.2528
200,350,180,300,350,180,0
200,350,180,300,450,180,0
200,350,180,400,-450,180,97.8527
200,350,180,400,-350,180,97.8943
200,350,180,400,-250,180,97.5097
200,350,180,400,-150,180,97.5333
200,350,180,400,-50,180,97.5947
200,350,180,400,50,180,86.7488
200,350,180,400,150,180,72.512
200,350,180,400,250,180,65.1237
200,350,180,400,350,180,0
200,350,180,400,450,180,0
200,350,180,500,-450,180,97.5216
200,350,180,500,-350,180,97.6715
200,350,180,500,-250,180,97.5168
200,350,180,500,-150,180,97.5463
200,350,180,500,-50,180,96.4882
200,350,180,500,50,180,82.1877
200,350,180,500,150,180,69.4412
200,350,180,500,250,180,64.1273
200,350,180,500,350,180,0
200,350,180,500,450,180,0
200,350,180,600,-450,180,0
200,350,180,600,-350,180,97.5755
200,350,180,600,-250,180,97.5488
200,350,180,600,-150,180,95.4238
200,350,180,600,-50,180,85.2272
200,350,180,600,50,180,72.5015
200,350,180,600,150,180,64.5041
200,350,180,600,250,180,0
200,350,180,600,350,180,0
200,350,180,600,450,180,0
200,450,180,200,-450,180,99.594
200,450,180,200,-350,180,98.9525
200,450,180,200,-250,180,99.6241
200,450,180,200,-150,180,0
200,450,180,200,-50,180,0
200,450,180,200,50,180,54.4618
200,450,180,200,150,180,21.3996
200,450,180,200,250,180,49.7206
200,450,180,200,350,180,0
200,450,180,200,450,180,0
200,450,180,300,-450,180,99.9929
200,450,180,300,-350,180,99.931
200,450,180,300,-250,180,99.6807
200,450,180,300,-150,180,99.5893
200,450,180,300,-50,180,99.6411
200,450,180,300,50,180,86.7767
200,450,180,300,150,180,73.2419
200,450,180,300,250,180,66.2893
200,450,180,300,350,180,46.2188
200,450,180,300,450,180,0
200,450,180,400,-450,180,99.9256
200,450,180,400,-350,180,99.9711
200,450,180,400,-250,180,99.5915
200,450,180,400,-150,180,99.6121
200,450,180,400,-50,180,99.6824
200,450,180,400,50,180,86.8191
200,450,180,400,150,180,72.55
200,450,180,400,250,180,65.1014
200,450,180,400,350,180,0
200,450,180,400,450,180,0
200,450,180,500,-450,180,99.6016
200,450,180,500,-350,180,99.7437
200,450,180,500,-250,180,99.6038
200,450,180,500,-150,180,99.6363
200,450,180,500,-50,180,96.5071
200,450,180,500,50,180,82.1831
200,450,180,500,150,180,69.3568
200,450,180,500,250,180,64.0136
200,450,180,500,350,180,0
200,450,180,500,450,180,0
200,450,180,600,-450,180,0
200,450,180,600,-350,180,99.6517
200,450,180,600,-250,180,99.6264
200,450,180,600,-150,180,95.4513
200,450,180,600,-50,180,85.2857
200,450,180,600,50,180,72.5248
200,450,180,600,150,180,64.4493
200,450,180,600,250,180,0
200,450,180,600,350,180,0
200,450,180,600,450,180,0
300,-450,180,200,-450,180,0
300,-450,180,200,-350,180,0
300,-450,180,200,-250,180,0
300,-450,180,200,-150,180,0
300,-450,180,200,-50,180,0
300,-450,180,200,50,180,0
300,-450,180,200,150,180,0
300,-450,180,200,250,180,0
300,-450,180,200,350,180,0
300,-450,180,200,450,180,0
300,-450,180,300,-450,180,0
300,-450,180,300,-350,180,0
300,-450,180,300,-250,180,0
300,-450,180,300,-150,180,0
300,-450,180,300,-50,180,0
300,-450,180,300,50,180,0
300,-450,180,300,150,180,0
300,-450,180,300,250,180,0
300,-450,180,300,350,180,0
300,-450,180,300,450,180,0
300,-450,180,400,-450,180,0
300,-450,180,400,-350,180,0
300,-450,180,400,-250,180,0
300,-450,180,400,-150,180,0
300,-450,180,400,-50,180,0
300,-450,180,400,50,180,0
300,-450,180,400,150,180,0
300,-450,180,400,250,180,0
300,-450,180,400,350,180,0
300,-450,180,400,450,180,0
300,-450,180,500,-450,180,0
300,-450,180,500,-350,180,0
300,-450,180,500,-250,180,0
300,-450,180,500,-150,180,0
300,-450,180,500,-50,180,0
300,-450,180,500,50,180,0
300,-450,180,500,150,180,0
300,-450,180,500,250,180,0
300,-450,180,500,350,180,0
300,-450,180,500,450,180,0
300,-450,180,600,-450,180,0
300,-450,180,600,-350,180,0
300,-450,180,600,-250,180,0
300,-450,180,600,-150,180,0
300,-450,180,600,-50,180,0
300,-450,180,600,50,180,0
300,-450,180,600,150,180,0
300,-450,180,600,250,180,0
300,-450,180,600,350,180,0
300,-450,180,600,450,180,0
300,-350,180,200,-450,180,48.7282
300,-350,180,200,-350,180,0
300,-350,180,200,-250,180,0
300,-350,180,200,-150,180,0
300,-350,180,200,-50,180,0
300,-350,180,200,50,180,0
300,-350,180,200,150,180,0
300,-350,180,200,250,180,0
300,-350,180,200,350,180,0
300,-350,180,200,450,180,0
300,-350,180,300,-450,180,0
300,-350,180,300,-350,180,0
300,-350,180,300,-250,180,0
300,-350,180,300,-150,180,0
300,-350,180,300,-50,180,0
300,-350,180,300,50,180,0
300,-350,180,300,150,180,0
300,-350,180,300,250,180,0
300,-350,180,300,350,180,0
300,-350,180,300,450,180,0
300,-350,180,400,-450,180,13.017
300,-350,180,400,-350,180,0
300,-350,180,400,-250,180,0
300,-350,180,400,-150,180,0
300,-350,180,400,-50,180,0
300,-350,180,400,50,180,0
300,-350,180,400,150,180,0
300,-350,180,400,250,180,0
300,-350,180,400,350,180,0
300,-350,180,400,450,180,0
300,-350,180,500,-450,180,3.91103
300,-350,180,500,-350,180,0
300,-350,180,500,-250,180,0
300,-350,180,500,-150,180,0
300,-350,180,500,-50,180,0
300,-350,180,500,50,180,0
300,-350,180,500,150,180,1.19341
300,-350,180,500,250,180,0
300,-350,180,500,350,180,0
300,-350,180,500,450,180,0
