Xl,Yl,Xr,Yr,Al,Ar,A,C,Ok,Distancia(mm)
200,-150,400,250,1,1,1,0,0,1.13137
200,-150,400,350,1,1,1,0,0,29.6232
200,-150,400,450,1,0,0,0,0,29.6232
200,-150,500,-450,1,1,1,0,0,29.5789
200,-150,500,-350,1,1,1,0,0,3.17624
200,-150,500,-250,1,1,1,0,0,29.5233
200,-150,500,-150,1,1,1,0,0,29.5985
200,-150,500,-50,1,1,1,0,0,29.5408
200,-150,500,50,1,1,1,0,0,9.44839
200,-150,500,150,1,1,1,0,0,8.88922
200,-150,500,250,1,1,1,0,0,13.5704
200,-150,500,350,1,0,0,0,0,13.5704
200,-150,500,450,1,0,0,0,0,13.5704
200,-150,600,-450,1,0,0,0,0,13.5704
200,-150,600,-350,1,1,1,0,0,29.5171
200,-150,600,-250,1,1,1,0,0,29.5334
200,-150,600,-150,1,1,1,0,0,29.5202
200,-150,600,-50,1,1,1,0,0,4.65038
200,-150,600,50,1,1,1,1,1,12.1713
200,-150,600,150,1,1,1,0,0,16.3767
200,-150,600,250,1,0,0,0,0,16.3767
200,-150,600,350,1,0,0,0,0,16.3767
200,-150,600,450,1,0,0,0,0,16.3767
200,-50,200,-450,1,1,1,1,1,29.7426
200,-50,200,-350,1,1,1,1,1,30.0128
200,-50,200,-250,1,1,1,1,1,29.6699
200,-50,200,-150,1,1,1,1,1,19.4939
200,-50,200,-50,1,1,1,0,0,0.000107
200,-50,200,50,1,1,1,0,0,4.65832
200,-50,200,150,1,1,1,0,0,1.25077
200,-50,200,250,1,1,1,0,0,1.39672
200,-50,200,350,1,1,1,0,0,1.45925
200,-50,200,450,1,1,1,0,0,5.23758
200,-50,300,-450,1,1,1,1,1,29.801
200,-50,300,-350,1,1,1,1,1,29.9251
200,-50,300,-250,1,1,1,1,1,29.753
200,-50,300,-150,1,1,1,1,1,29.7177
200,-50,300,-50,1,1,1,0,0,2.17605
200,-50,300,50,1,1,1,0,0,1.72049
200,-50,300,150,1,1,1,0,0,2.62582
200,-50,300,250,1,1,1,0,0,1.05288
200,-50,300,350,1,1,1,0,0,7.15691
200,-50,300,450,1,0,0,0,0,7.15691
200,-50,400,-450,1,1,1,1,1,29.6613
200,-50,400,-350,1,1,1,1,1,29.6853
200,-50,400,-250,1,1,1,1,1,29.7316
200,-50,400,-150,1,1,1,1,1,24.4712
200,-50,400,-50,1,1,1,1,1,21.6848
200,-50,400,50,1,1,1,0,0,1.62597
200,-50,400,150,1,1,1,0,0,5.77817
200,-50,400,250,1,1,1,1,1,10.0682
200,-50,400,350,1,1,1,0,0,7.8084
200,-50,400,450,1,0,0,0,0,7.8084
200,-50,500,-450,1,1,1,1,1,24.4384
200,-50,500,-350,1,1,1,1,1,25.6662
200,-50,500,-250,1,1,1,1,1,23.3607
200,-50,500,-150,1,1,1,1,1,20.9842
200,-50,500,-50,1,1,1,1,1,19.3651
200,-50,500,50,1,1,1,0,0,29.6989
200,-50,500,150,1,1,1,1,1,12.4467
200,-50,500,250,1,1,1,1,1,20.7969
200,-50,500,350,1,0,0,1,0,20.7969
200,-50,500,450,1,0,0,1,0,20.7969
200,-50,600,-450,1,0,0,1,0,20.7969
200,-50,600,-350,1,1,1,1,1,21.8839
200,-50,600,-250,1,1,1,1,1,21.9419
200,-50,600,-150,1,1,1,1,1,17.7934
200,-50,600,-50,1,1,1,0,0,30.0464
200,-50,600,50,1,1,1,0,0,5.71843
200,-50,600,150,1,1,1,1,1,22.2515
200,-50,600,250,1,0,0,1,0,22.2515
200,-50,600,350,1,0,0,1,0,22.2515
200,-50,600,450,1,0,0,1,0,22.2515
200,50,200,-450,1,1,1,1,1,30.0927
200,50,200,-350,1,1,1,1,1,30.3333
200,50,200,-250,1,1,1,1,1,30.0552
200,50,200,-150,1,1,1,1,1,30.2509
200,50,200,-50,1,1,1,1,1,19.2936
200,50,200,50,1,1,1,0,0,0
200,50,200,150,1,1,1,0,0,5.31712
200,50,200,250,1,1,1,0,0,2.16388
200,50,200,350,1,1,1,0,0,1.86775
200,50,200,450,1,1,1,0,0,6.6325
200,50,300,-450,1,1,1,1,1,30.1188
200,50,300,-350,1,1,1,1,1,30.2036
200,50,300,-250,1,1,1,1,1,30.0511
200,50,300,-150,1,1,1,1,1,30.0898
200,50,300,-50,1,1,1,1,1,30.0653
200,50,300,50,1,1,1,0,0,3.62022
200,50,300,150,1,1,1,0,0,14.0678
200,50,300,250,1,1,1,0,0,7.59765
200,50,300,350,1,1,1,0,0,0.179156
200,50,300,450,1,0,0,0,0,0.179156
200,50,400,-450,1,1,1,1,1,30.0486
200,50,400,-350,1,1,1,1,1,3.01E+01
200,50,400,-250,1,1,1,1,1,30.1086
200,50,400,-150,1,1,1,1,1,30.038
200,50,400,-50,1,1,1,1,1,30.0361
200,50,400,50,1,1,1,1,1,30.1328
200,50,400,150,1,1,1,1,1,29.2756
200,50,400,250,1,1,1,1,1,30.0749
200,50,400,350,1,1,1,0,0,22.5931
200,50,400,450,1,0,0,0,0,22.5931
200,50,500,-450,1,1,1,1,1,30.037
200,50,500,-350,1,1,1,1,1,30.0951
200,50,500,-250,1,1,1,1,1,30.0655
200,50,500,-150,1,1,1,1,1,30.0427
200,50,500,-50,1,1,1,1,1,30.0451
200,50,500,50,1,1,1,1,1,30.0718
200,50,500,150,1,1,1,1,1,29.1234
200,50,500,250,1,1,1,1,1,30.062
200,50,500,350,1,0,0,1,0,30.062
200,50,500,450,1,0,0,1,0,30.062
200,50,600,-450,1,0,0,1,0,30.062
200,50,600,-350,1,1,1,1,1,30.0562
200,50,600,-250,1,1,1,1,1,30.0755
200,50,600,-150,1,1,1,1,1,30.0403
200,50,600,-50,1,1,1,1,1,30.3641
200,50,600,50,1,1,1,1,1,29.2885
200,50,600,150,1,1,1,1,1,30.0435
200,50,600,250,1,0,0,1,0,30.0435
200,50,600,350,1,0,0,1,0,30.0435
200,50,600,450,1,0,0,1,0,30.0435
200,150,200,-450,1,1,1,1,1,29.8213
200,150,200,-350,1,1,1,1,1,30.1017
200,150,200,-250,1,1,1,1,1,29.7655
200,150,200,-150,1,1,1,1,1,29.9937
200,150,200,-50,1,1,1,1,1,29.7623
200,150,200,50,1,1,1,1,1,19.6567
200,150,200,150,1,1,1,0,0,0.000107
200,150,200,250,1,1,1,0,0,3.3152
200,150,200,350,1,1,1,0,0,16.7969
200,150,200,450,1,1,1,0,0,8.13311
200,150,300,-450,1,1,1,1,1,29.8566
200,150,300,-350,1,1,1,1,1,29.9639
200,150,300,-250,1,1,1,1,1,29.7132
200,150,300,-150,1,1,1,1,1,29.802
200,150,300,-50,1,1,1,1,1,29.7237
200,150,300,50,1,1,1,1,1,29.8231
200,150,300,150,1,1,1,0,0,7.48265
200,150,300,250,1,1,1,0,0,3.21375
200,150,300,350,1,1,1,0,0,3.26968
200,150,300,450,1,0,0,0,0,3.26968
200,150,400,-450,1,1,1,1,1,29.7541
200,150,400,-350,1,1,1,1,1,29.7804
200,150,400,-250,1,1,1,1,1,2.98E+01
200,150,400,-150,1,1,1,1,1,29.731
200,150,400,-50,1,1,1,1,1,29.7212
200,150,400,50,1,1,1,1,1,29.8376
200,150,400,150,1,1,1,1,1,29.0366
200,150,400,250,1,1,1,1,1,29.7354
200,150,400,350,1,1,1,1,1,29.8795
200,150,400,450,1,0,0,1,0,29.8795
200,150,500,-450,1,1,1,1,1,29.7276
200,150,500,-350,1,1,1,1,1,29.8079
200,150,500,-250,1,1,1,1,1,29.7238
200,150,500,-150,1,1,1,1,1,29.7425
200,150,500,-50,1,1,1,1,1,29.7474
200,150,500,50,1,1,1,1,1,29.7914
200,150,500,150,1,1,1,1,1,28.781
200,150,500,250,1,1,1,1,1,29.7764
200,150,500,350,1,0,0,1,0,29.7764
200,150,500,450,1,0,0,1,0,29.7764
200,150,600,-450,1,0,0,1,0,29.7764
200,150,600,-350,1,1,1,1,1,29.7157
200,150,600,-250,1,1,1,1,1,29.7362
200,150,600,-150,1,1,1,1,1,29.7131
200,150,600,-50,1,1,1,1,1,30.0637
200,150,600,50,1,1,1,1,1,29.0524
200,150,600,150,1,1,1,1,1,29.7444
200,150,600,250,1,0,0,1,0,29.7444
200,150,600,350,1,0,0,1,0,29.7444
200,150,600,450,1,0,0,1,0,29.7444
200,250,200,-450,1,1,1,1,1,29.8182
200,250,200,-350,1,1,1,1,1,30.1034
200,250,200,-250,1,1,1,1,1,29.7668
200,250,200,-150,1,1,1,1,1,29.9967
