Grid size,10,5,Zs,2,,,,,,,,,,,,,,,
Coordenada,,Brazo derecho,,,,,,,,Coordenada,,Brazo izquierdo,,,,,,,
X,Y,Alcanza Z=180,J1,J2,J3,J4,J5,J6,J7,X,Y,Alcanza Z=180,J1,J2,J3,J4,J5,J6,J7
500,250,1,167.5,-57.6412,-26.5459,250.895,86.3255,-104.738,-121.319		,500,250,1,-61.3510,-61.5319,17.1628,100.4600,74.4858,-212.6990,53.736		
500,350,0,0,0,0,0,0,0,0		,500,350,1,-56.8756,-64.4749,3.5608,94.8098,71.8085,-193.5010,51.8805		
500,450,0,0,0,0,0,0,0,0		,500,450,1,-58.9996,-62.8024,-20.0778,87.5453,71.4039,-171.2440,52.8124		
600,-450,0,0,0,0,0,0,0,0		,600,-450,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0		
600,-350,1,80.4564,-47.8432,-35.3189,271.609,74.7964,-180.706,-62.6293		,600,-350,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0		
600,-250,1,80.9404,-47.5028,-16.1879,266.335,75.5399,-160.428,-62.5975		,600,-250,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0		
600,-150,1,90.7269,-44.1792,-8.92901,262.771,77.4861,-145.102,-68.9348		,600,-150,1,-161.2100,-49.7741,-39.7093,103.0550,82.2753,126.0090,118.006		
600,-50,1,108.667,-40.9095,-10.0171,260.469,79.664,-133.629,-81.6999		,600,-50,1,-133.1330,-42.4094,-18.8568,102.5050,82.4291,126.5880,98.2812		
600,50,1,133.731,-41.2732,-19.2902,259.141,81.2738,-126.577,-100.336		,600,50,1,-108.6710,-42.2428,-9.5950,101.0830,80.9396,133.6430,80.1987		
600,150,1,162.033,-49.1402,-40.1866,258.771,81.4101,-126.069,-120.347		,600,150,1,-91.1377,-45.4948,-8.5055,98.7752,78.7769,-214.9260,67.7329		
600,250,0,0,0,0,0,0,0,0		,600,250,1,-81.4332,-48.6981,-15.7369,95.3086,76.7329,-199.6960,61.3482		
600,350,0,0,0,0,0,0,0,0		,600,350,1,-80.7080,-48.8121,-34.7678,90.2464,75.6956,-179.5740,61.0331		
600,450,0,0,0,0,0,0,0,0,600,450,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0		
,,,Joints para Z=110,,,,,,,,,,Joints para Z=110,,,,,,
X,Y,Alcanza Z=110,J1,J2,J3,J4,J5,J6,J7,X,Y,Alcanza Z=110,J1,J2,J3,J4,J5,J6,J7
200,-450,1,30.8551,-72.815,11.9282,-82.4916,34.7324,-190.306,-80.0657,200,-450,0,0,0,0,0,0,0,0		
200,-350,1,25.4721,-68.6317,18.7058,-78.7768,17.917,-193.305,-95.2051,200,-350,1,-163.633,-101.293,-15.4782,147.832,99.9806,75.5389,107.953
200,-250,1,31.9401,-67.6279,53.5237,-157.466,40.1991,-108.784,-99.7049,200,-250,1,-157.903,-109.281,0.215418,160.112,111.559,79.1726,105.912
200,-150,0,0,0,0,0,0,0,0		,200,-150,1,-121.908,-99.1791,40.7255,163.347,116.759,80.2023,115.081
200,-50,0,0,0,0,0,0,0,0		,200,-50,1,-100.639,-89.7479,56.514,164.872,109.884,83.2675,116.439
200,50,1,101.394,-87.8694,56.441,-163.367,109.157,-81.4805,-116.703,200,50,1,-74.8061,-79.1598,65.2525,166.407,91.8203,89.4536,113.488
200,150,1,122.648,-97.379,40.6034,-161.485,116.022,-78.4566,-115.566,200,150,1,-48.5338,-71.8055,64.1544,164.644,65.6505,98.3196,105.941
200,250,1,141.51,-105.069,19.3149,-161.16,114.698,-78.5337,-111.987,200,250,1,-31.695,-69.5646,53.6337,156.365,41.1082,111.266,99.1499
200,350,1,161.792,-111.515,-9.65897,-161.914,106.368,-81.1955,-105.81,200,350,1,-26.0367,-69.3615,36.3871,133.233,22.9226,-222.423,96.06
