Gird Size,10,5,3,,,,,,,,,,,,,,,,,,
Coordenada,,,Brazo derecho,,,,,,,,Coordenada,,,Brazo izquierdo,,,,,,,
X,Y,Z,Alcance?,J1,J2,J3,J4,J5,J6,J7,X,Y,Z,Alcance?,J1,J2,J3,J4,J5,J6,J7
200,50,180,0,0,0,0,0,0,0,0,200,50,180,0,0,0,0,0,0,0,4
200,150,180,0,0,0,0,0,0,0,0,200,150,180,0,0,0,0,0,0,0,5
200,250,180,0,0,0,0,0,0,0,0,200,250,180,1,-14.5001,-73.1832,65.6377,142.9650,41.2446,124.0130,86.5909
200,350,180,0,0,0,0,0,0,0,0,200,350,180,1,-10.1311,-74.2232,46.9148,113.7980,27.5557,157.7290,83.8477
200,450,180,0,0,0,0,0,0,0,0,200,450,180,1,-13.3791,-73.7830,24.0250,73.6848,27.1517,201.5720,83.5592
300,-450,180,1,25.8651,-80.4275,19.1747,273.4210,49.6477,-186.9160,-64.7394,300,-450,180,0,0,0,0,0,0,0,0
300,-350,180,1,24.5117,-80.8846,40.7737,256.3840,51.0175,-160.6360,-64.9541,300,-350,180,0,0,0,0,0,0,0,1
300,-250,180,1,30.1648,-77.5988,56.9096,241.7990,58.8274,-134.6540,-65.8773,300,-250,180,1,-153.1510,-72.7151,17.0973,126.0100,105.9240,71.6968,111.9910
300,-150,180,1,46.1705,-70.0647,66.1596,233.6220,73.0738,-110.2810,-68.7019,300,-150,180,1,-131.9820,-65.5168,39.0824,124.8560,106.7300,71.0401,103.6290
300,-50,180,1,73.9815,-61.8738,65.6986,233.1360,89.5648,-89.6477,-77.4169,300,-50,180,1,-105.7010,-61.6200,55.8130,125.5140,102.4560,76.8591,91.3168
300,50,180,1,105.7810,-59.6613,55.5949,235.4370,100.8250,-75.9429,-91.7659,300,50,180,1,-74.4575,-63.8209,65.8987,127.5020,91.1938,90.6456,77.4305
300,150,180,1,132.5310,-63.7242,38.8329,236.3540,105.1700,-70.1946,-104.6080,300,150,180,1,-46.8975,-71.9302,66.3611,126.6720,74.7101,111.3290,68.7036
300,250,180,1,153.8980,-71.2161,16.8040,235.4450,104.5270,-70.9455,-113.3480,300,250,180,1,-30.8974,-79.4082,57.1373,118.4200,60.5509,135.5480,65.5605
300,350,180,0,0,0,0,0,0,0,1,300,350,180,1,-25.1802,-82.6107,41.0447,104.2630,52.7865,161.0250,64.2775
300,450,180,0,0,0,0,0,0,0,0,300,450,180,1,-26.4284,-81.9972,19.4985,87.9516,51.2442,186.6320,63.7053
400,-450,180,1,40.9970,-74.5862,5.1241,272.1890,62.5811,-184.0580,-55.0950,400,-450,180,0,0,0,0,0,0,0,0
400,-350,180,1,40.3140,-74.8794,26.1021,261.9540,63.6502,-161.3320,-54.8579,400,-350,180,0,0,0,0,0,0,0,0
400,-250,180,1,45.6550,-70.9239,40.0972,253.5800,68.3131,-139.5080,-55.8728,400,-250,180,1,-157.5630,-60.7375,0.3832,116.0030,94.2193,85.4692,114.8280
400,-150,180,1,58.1090,-63.2382,47.0273,248.3370,75.7813,-119.1510,-59.5143,400,-150,180,1,-133.3140,-53.2685,22.3810,115.1810,94.6485,85.2110,101.0170
400,-50,180,1,78.6822,-54.5891,46.0410,246.3920,83.9256,-102.1300,-68.7644,400,-50,180,1,-105.9300,-51.6087,37.6442,114.8240,91.7629,90.9554,83.9414
400,50,180,1,105.8080,-49.7743,37.3761,246.1580,90.0982,-90.3999,-84.6565,400,50,180,1,-79.4061,-56.3856,46.2977,114.3940,85.6467,102.7250,68.5248
400,150,180,1,133.8730,-51.6234,22.0897,246.0290,93.0995,-84.7113,-102.4090,400,150,180,1,-59.0597,-64.9279,47.2881,112.3360,77.5296,119.7260,59.2755
400,250,180,1,158.4220,-59.4895,0.0535,245.4650,92.8807,-85.0584,-116.6360,400,250,180,1,-46.6120,-72.5270,40.3801,107.1590,70.0650,139.9310,55.3799
400,350,180,0,0,0,0,0,0,0,0,400,350,180,1,-41.1880,-76.3842,26.4224,99.0751,65.3317,161.4620,54.0481
400,450,180,0,0,0,0,0,0,0,0,400,450,180,1,-41.7128,-75.9300,5.4981,89.2759,64.0372,183.8400,53.9493
500,-450,180,1,58.4496,-61.7181,-20.5377,274.2030,70.2933,-189.0430,-54.1852,500,-450,180,0,0,0,0,0,0,0,0
500,-350,180,1,56.0618,-63.1770,3.1817,266.6030,70.3638,-166.5640,-52.8738,500,-350,180,0,0,0,0,0,0,0,0
500,-250,180,1,60.4308,-60.1019,16.8228,260.7240,72.8980,-147.1740,-54.4471,500,-250,180,1,-167.3840,-57.7529,-26.4903,109.3370,86.4691,104.7560,121.0260
500,-150,180,1,71.0754,-54.0667,22.9408,256.6850,76.8984,-130.1560,-59.4712,500,-150,180,1,-141.1760,-47.9851,-1.2062,108.8210,87.6119,102.6590,104.7320
500,-50,180,1,88.9250,-47.4593,21.8470,254.3920,81.2043,-116.3600,-69.9925,500,-50,180,1,-113.8400,-45.5377,14.0549,108.0070,86.1237,107.1250,85.7501
500,50,180,1,113.9000,-43.9211,13.7199,253.2510,84.6014,-106.8470,-86.9760,500,50,180,1,-89.5247,-49.0971,22.1688,106.7370,82.8098,116.6490,69.3261
500,150,180,1,141.9040,-46.6527,-1.5621,252.6280,86.2527,-102.4250,-106.6250,500,150,180,1,-71.9632,-55.6084,23.2626,104.4070,78.5275,130.4040,58.9233
500,250,180,1,167.5000,-57.6412,-26.5459,250.8950,86.3255,-104.7380,-121.3190,500,250,180,1,-61.3510,-61.5319,17.1628,100.4600,74.4858,147.3010,53.7360
500,350,180,0,0,0,0,0,0,0,0,500,350,180,1,-56.8756,-64.4749,3.5608,94.8098,71.8085,166.4990,51.8805
500,450,180,0,0,0,0,0,0,0,0,500,450,180,1,-58.9996,-62.8024,-20.0778,87.5453,71.4039,188.7560,52.8124
600,-450,180,0,0,0,0,0,0,0,0,600,-450,180,0,0,0,0,0,0,0,0
600,-350,180,1,80.4564,-47.8432,-35.3189,271.6090,74.7964,-180.7060,-62.6293,600,-350,180,0,0,0,0,0,0,0,0
